order,sensor_id,name,side,x_mm,y_mm,z_mm,tolerance_mm,instruction
1,S01,Top olie temp,links,1200,340,2200,50,"Plaats op vlakke plaat naast koeler"
2,S02,Vibratie pomp,rechts,3100,500,1800,50,"Kabel naar beneden richten"
3,S03,Koeler retour temp,links,800,420,2600,40,"Houd 10 cm vrij van lasnaad"
4,S04,Koeler aanvoer temp,rechts,4200,480,2300,40,"Sensorvlak schoonmaken voor montage"
5,S05,Laagspanning trillingen,voor,1500,2500,900,60,"Pijl richting kabelgoot"
6,S06,Hoogspanning trillingen,achter,1500,4750,900,60,"Bevestig op vlakke rib"
7,S07,Deksel temperatuur,boven,2500,2200,3100,50,"Plaats buiten hijsoogzone"
8,S08,Kern geluid links,links,2200,380,1500,50,"Kabel langs bestaande bundel"
9,S09,Kern geluid rechts,rechts,5200,520,1500,50,"Kabel niet kruisen met pomp"
10,S10,Tank temp voor A,voor,3000,2550,1200,50,"Montagevlak ontvetten"
11,S11,Tank temp achter A,achter,3000,4700,1200,50,"Gebruik markering op rib"
12,S12,Deksel temp midden,boven,4500,2100,3050,50,"Connector naar achterzijde"
13,S13,Koeler ventilator L,links,3600,360,2400,50,"Plaats naast ventilatorhuis"
14,S14,Koeler ventilator R,rechts,6500,540,2400,50,"Kabel naar beneden richten"
15,S15,Tank temp voor B,voor,4500,2500,1500,50,"Vrijhouden van boutkoppen"
16,S16,Tank temp achter B,achter,4500,4750,1500,50,"Plaats op vlak middenvlak"
17,S17,Deksel temp rechts,boven,6200,2250,3100,50,"Montagevoet volledig vlak"
18,S18,Oliedruk leiding L,links,5000,400,1800,45,"Niet op bocht plaatsen"
19,S19,Oliedruk leiding R,rechts,7800,520,1800,45,"Niet op bocht plaatsen"
20,S20,Tank temp voor C,voor,6000,2600,1800,50,"Kabel naar kabelgoot"
21,S21,Tank temp achter C,achter,6000,4700,1800,50,"Controleer vrije slag deur"
22,S22,Deksel temp eind,boven,7600,2300,3000,50,"Plaats naast inspectieluik"
23,S23,Koelerflow links,links,6400,360,2600,40,"Pijl met flowrichting"
24,S24,Koelerflow rechts,rechts,8800,500,2600,40,"Pijl met flowrichting"
25,S25,Tank temp voor D,voor,7500,2500,2100,50,"Sensor horizontaal uitlijnen"
26,S26,Tank temp achter D,achter,7500,4680,2100,50,"Sensor horizontaal uitlijnen"
27,S27,Deksel temp hoek,boven,9000,2250,3000,50,"Niet binnen 15 cm van rand"
28,S28,Kabelkast links,links,8200,390,1300,50,"Connector bereikbaar houden"
29,S29,Kabelkast rechts,rechts,9400,520,1300,50,"Connector bereikbaar houden"
30,S30,Tank temp voor E,voor,9000,2600,1000,50,"Vrij van typeplaat houden"
31,S31,Tank temp achter E,achter,9000,4700,1000,50,"Controleer aardingsband"
32,S32,Deksel eindpositie,boven,9800,2200,2800,50,"Laat 20 cm servicelus"
